image_path,colors,predictions
Nantes 039.jpg,"[[0.89810444 0.89593112 0.89373681]
 [0.16120489 0.23824326 0.33215401]
 [0.5529724  0.53808152 0.52472056]
 [0.02652604 0.04621419 0.06582276]
 [0.77303139 0.73885009 0.71338484]]","['spotlight', 'digital_clock', 'matchstick']"
Nantes 061.jpg,"[[0.64609812 0.44577553 0.13149588]
 [0.05638996 0.0566     0.06249517]
 [0.86717668 0.81962163 0.82656782]
 [0.28619721 0.26913012 0.26903377]
 [0.76004546 0.59905175 0.3877194 ]]","['spotlight', 'digital_clock', 'theater_curtain']"
Nantes 093.jpg,"[[0.11744229 0.09770961 0.08635715]
 [0.50446848 0.47080106 0.44913014]
 [0.7540959  0.75556033 0.76926183]
 [0.16395833 0.41527696 0.56963725]
 [0.29861234 0.24752908 0.20080054]]","['spotlight', 'digital_clock', 'matchstick']"
Nantes 099.jpg,"[[0.35684943 0.3478962  0.27422137]
 [0.12885266 0.12474003 0.09446238]
 [0.58730846 0.630189   0.66306694]
 [0.4598888  0.45734695 0.38438868]
 [0.23227279 0.23524486 0.20081131]]","['spotlight', 'matchstick', 'digital_clock']"
Nantes 112.jpg,"[[0.6346429  0.64329563 0.58722251]
 [0.33658017 0.33125671 0.25281308]
 [0.11747321 0.12208758 0.09913271]
 [0.50377972 0.49877462 0.39479174]
 [0.77764242 0.81453185 0.85099489]]","['spotlight', 'digital_clock', 'matchstick']"
Nantes 136.jpg,"[[0.52204284 0.51933953 0.47832552]
 [0.0856463  0.08019286 0.05387496]
 [0.37252043 0.3576033  0.30058371]
 [0.72564721 0.73752655 0.72773467]
 [0.22015991 0.20148639 0.14770874]]","['spotlight', 'matchstick', 'digital_clock']"
Nantes 149.jpg,"[[0.20992857 0.20777683 0.20348967]
 [0.87914425 0.81861171 0.75862738]
 [0.35092669 0.35211019 0.34846884]
 [0.09524253 0.08609641 0.07008014]
 [0.4717182  0.46816406 0.46123128]]","['spotlight', 'digital_clock', 'matchstick']"
long_exposure 017.jpg,"[[0.04045082 0.04608478 0.04289613]
 [0.43920064 0.41288405 0.39733846]
 [0.80891131 0.8041954  0.80850509]
 [0.25234216 0.24178757 0.23633075]
 [0.6242527  0.59793545 0.58967108]]","['spotlight', 'matchstick', 'digital_clock']"
long_exposure 074.jpg,"[[0.02472965 0.03065898 0.0306712 ]
 [0.68866095 0.20688994 0.0413811 ]
 [0.45944742 0.71579161 0.7820491 ]
 [0.07660675 0.16687151 0.49386308]
 [0.10840779 0.57125838 0.02255833]]","['spotlight', 'digital_clock', 'matchstick']"
long_exposure 075.jpg,"[[0.04944535 0.03085743 0.02382904]
 [0.44810801 0.39016419 0.36790936]
 [0.2860266  0.23062123 0.19496282]
 [0.82162863 0.72573021 0.69490351]
 [0.15174308 0.10972989 0.08721627]]","['spotlight', 'digital_clock', 'matchstick']"
long_exposure 082.jpg,"[[0.02873969 0.02512748 0.02259929]
 [0.66901159 0.71771387 0.7293984 ]
 [0.29801842 0.50409831 0.62569605]
 [0.2026173  0.29309349 0.33331364]
 [0.08047872 0.12146613 0.1449964 ]]","['spotlight', 'digital_clock', 'matchstick']"
long_exposure 086.jpg,"[[0.21478069 0.20531127 0.21546407]
 [0.0383822  0.03390271 0.03562337]
 [0.62675266 0.58612204 0.59037295]
 [0.14050965 0.10557309 0.09915157]
 [0.35588167 0.33355423 0.34420969]]","['spotlight', 'digital_clock', 'matchstick']"
long_exposure 091.jpg,"[[0.17913203 0.14222161 0.14461863]
 [0.52693308 0.34436856 0.31718801]
 [0.38051311 0.24833548 0.2209732 ]
 [0.64783956 0.43854469 0.39319848]
 [0.49158619 0.67649985 0.83381621]]","['spotlight', 'matchstick', 'digital_clock']"
long_exposure 101.jpg,"[[0.1403336  0.32564684 0.55467539]
 [0.03984016 0.04045285 0.03493717]
 [0.53052387 0.40257904 0.08358756]
 [0.21544149 0.15972687 0.07146859]
 [0.06483892 0.13952563 0.24047213]]","['spotlight', 'digital_clock', 'matchstick']"
minimalisme 010.jpg,"[[0.15229809 0.17868143 0.19015348]
 [0.34780864 0.34206071 0.34188418]
 [0.06073915 0.02121988 0.0102499 ]
 [0.57280413 0.54605902 0.52138725]
 [0.45010431 0.44139457 0.43812701]]","['spotlight', 'digital_clock', 'matchstick']"
minimalisme 035.jpg,"[[0.58691334 0.39116159 0.07587215]
 [0.10812523 0.09520307 0.07752447]
 [0.63732378 0.57751342 0.49680711]
 [0.46198054 0.42240451 0.37860995]
 [0.29232048 0.26500778 0.23145527]]","['spotlight', 'matchstick', 'digital_clock']"
minimalisme 052.jpg,"[[0.29910345 0.18654027 0.10993892]
 [0.58088228 0.41626331 0.31275877]
 [0.02077322 0.00807576 0.00272149]
 [0.50664489 0.35220382 0.24983199]
 [0.39902365 0.27127347 0.195024  ]]","['spotlight', 'digital_clock', 'matchstick']"
minimalisme 053.jpg,"[[0.61647685 0.52005179 0.39957806]
 [0.03187504 0.04834562 0.01741756]
 [0.48791597 0.38065349 0.25379067]
 [0.66693988 0.66580483 0.65128803]
 [0.23164777 0.22877249 0.18853163]]","['spotlight', 'digital_clock', 'matchstick']"
minimalisme 055.jpg,"[[0.41299291 0.37375988 0.32831361]
 [0.69748998 0.67839105 0.66806918]
 [0.23243851 0.22336869 0.22413055]
 [0.01481307 0.03427547 0.01548947]
 [0.57569111 0.54119797 0.4971361 ]]","['spotlight', 'digital_clock', 'matchstick']"
minimalisme 056.jpg,"[[0.30321412 0.2679293  0.2180026 ]
 [0.87766707 0.81756175 0.74414985]
 [0.84713783 0.70830529 0.52978959]
 [0.12301436 0.10133285 0.06363317]
 [0.9213446  0.91050513 0.89668674]]","['spotlight', 'matchstick', 'digital_clock']"
minimalisme 057.jpg,"[[0.68678721 0.52685409 0.37007646]
 [0.09741929 0.07460144 0.05965488]
 [0.40877331 0.3096216  0.2319634 ]
 [0.60445214 0.45339642 0.31290172]
 [0.22131201 0.16404814 0.13542816]]","['spotlight', 'digital_clock', 'matchstick']"
minimalisme 059.jpg,"[[0.15368246 0.12082202 0.07356403]
 [0.86635879 0.67305714 0.33528462]
 [0.71979575 0.58909649 0.40105398]
 [0.89285822 0.75159467 0.50845265]
 [0.32820116 0.28024404 0.21697419]]","['spotlight', 'matchstick', 'digital_clock']"
minimalisme 063.jpg,"[[0.25925801 0.25505069 0.2557794 ]
 [0.47613747 0.43526728 0.391194  ]
 [0.05350235 0.04351417 0.03540512]
 [0.17390755 0.17012582 0.16966989]
 [0.86188276 0.79408685 0.70820244]]","['spotlight', 'digital_clock', 'matchstick']"
minimalisme 066.jpg,"[[0.86509609 0.73839118 0.5610185 ]
 [0.33060802 0.30351563 0.27926694]
 [0.12854649 0.11423848 0.09518998]
 [0.83357737 0.66306256 0.4226738 ]
 [0.44030677 0.43995631 0.44927553]]","['spotlight', 'matchstick', 'digital_clock']"
minimalisme 070.jpg,"[[0.60345492 0.4582567  0.29686232]
 [0.22512983 0.12766443 0.0233271 ]
 [0.73949709 0.64732834 0.54767637]
 [0.85744589 0.84297252 0.81768711]
 [0.43068624 0.26198744 0.02417546]]","['spotlight', 'matchstick', 'digital_clock']"
minimalisme 072.jpg,"[[0.4344756  0.35951465 0.25170104]
 [0.7347716  0.71228181 0.69017444]
 [0.11357555 0.12010309 0.0750829 ]
 [0.31477302 0.25707993 0.16540332]
 [0.57305229 0.55490196 0.52547451]]","['spotlight', 'matchstick', 'digital_clock']"
minimalisme 077.jpg,"[[0.48162004 0.41214957 0.35151436]
 [0.0731987  0.06443392 0.02935553]
 [0.64438805 0.51195678 0.35204737]
 [0.43086133 0.29765846 0.15406673]
 [0.56206948 0.40663684 0.22633814]]","['spotlight', 'digital_clock', 'matchstick']"
minimalisme 081.jpg,"[[0.45519539 0.52610952 0.62759409]
 [0.4086131  0.35199324 0.16943568]
 [0.51205308 0.46472928 0.23521394]
 [0.29513894 0.24272219 0.10662976]
 [0.37513487 0.3421917  0.27667324]]","['spotlight', 'matchstick', 'digital_clock']"
Blottereau - Clisson 006.jpg,"[[0.18969201 0.24349936 0.1506949 ]
 [0.41413538 0.62914005 0.5142153 ]
 [0.29431685 0.41148879 0.28392924]
 [0.67764152 0.78608397 0.75154161]
 [0.12012809 0.11924461 0.08306064]]","['spotlight', 'theater_curtain', 'digital_clock']"
Blottereau - Clisson 011.jpg,"[[0.0264905  0.09847314 0.05959094]
 [0.77680599 0.58967965 0.33599537]
 [0.30509103 0.4845656  0.44605324]
 [0.12611834 0.30698632 0.25296291]
 [0.797194   0.71525096 0.61329518]]","['spotlight', 'digital_clock', 'matchstick']"
Blottereau - Clisson 019.jpg,"[[0.0607097  0.35344022 0.33241087]
 [0.00847522 0.10228097 0.11001502]
 [0.46735817 0.67105919 0.70769496]
 [0.01265271 0.23340209 0.19573126]
 [0.21750569 0.47878706 0.4948659 ]]","['spotlight', 'digital_clock', 'matchstick']"
Blottereau - Clisson 031.jpg,"[[0.0093338  0.09017989 0.0614881 ]
 [0.66049722 0.7171968  0.71896486]
 [0.0624673  0.30908236 0.25020746]
 [0.65696964 0.45336876 0.24419247]
 [0.25719378 0.50152013 0.46856357]]","['spotlight', 'digital_clock', 'matchstick']"
Blottereau - Clisson 033.jpg,"[[0.2962094  0.42476134 0.36916479]
 [0.92560511 0.8155597  0.6767304 ]
 [0.02688419 0.09059259 0.03798763]
 [0.50759985 0.60028604 0.53813579]
 [0.12647977 0.25245161 0.17476411]]","['spotlight', 'digital_clock', 'theater_curtain']"
Blottereau - Clisson 061.jpg,"[[0.00956016 0.10324529 0.10279276]
 [0.21323832 0.43318272 0.45129313]
 [0.87197898 0.88416529 0.87769788]
 [0.42990508 0.65103188 0.67489764]
 [0.06491605 0.2726175  0.26265055]]","['spotlight', 'digital_clock', 'theater_curtain']"
Blottereau - Clisson 070.jpg,"[[0.67974525 0.67041526 0.63819354]
 [0.08983157 0.10920106 0.08974375]
 [0.38262413 0.3886497  0.36210638]
 [0.18810125 0.22417409 0.21623619]
 [0.55743709 0.54861333 0.51034866]]","['spotlight', 'matchstick', 'digital_clock']"
architecture 016.jpg,"[[0.31166119 0.24124673 0.01268461]
 [0.76020437 0.62277304 0.47023232]
 [0.1139439  0.09025381 0.03862098]
 [0.64666702 0.48340784 0.30464744]
 [0.92155907 0.89550047 0.87370495]]","['spotlight', 'matchstick', 'digital_clock']"
architecture 029.jpg,"[[0.07257852 0.18098544 0.51986418]
 [0.72679441 0.6406258  0.57108421]
 [0.05714609 0.10122539 0.12587363]
 [0.32764386 0.26524355 0.18422678]
 [0.48436284 0.46968151 0.44917934]]","['spotlight', 'digital_clock', 'matchstick']"
